the_geom.type,the_geom.coordinates,schoolid,school_nam,rt_num,sch_year
MultiLineString,,610012,JENNER,123,2015-2016
MultiLineString,,610037,LIBBY,124,2015-2016
MultiLineString,,610391,LINDBLOM HS,125,2015-2016
MultiLineString,,609744,NORTHSIDE LEARNING HS,126,2015-2016
MultiLineString,,610116,PARKSIDE,127,2015-2016
MultiLineString,,610226,HERNANDEZ/SANDOVAL/SOLORIO HS,122,2015-2016
MultiLineString,,610183,SPENCER TECH ACAD,130,2015-2016
MultiLineString,,609941,RANDOLPH,129,2015-2016
MultiLineString,,610065,TILL,131,2015-2016
MultiLineString,,610394,UPLIFT HS,132,2015-2016
MultiLineString,,610345,WOODSON,133,2015-2016
MultiLineString,,610304,PHOENIX MILITARY ACAD,128,2015-2016
MultiLineString,,609819,BURKE,116,2015-2016
MultiLineString,,610238,BOND,114,2015-2016
MultiLineString,,609848,ALDRIDGE/CARVER/CICS-BOND/CICS-HAWKINS/DUBOIS,112,2015-2016
